school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,17,U,LE3,T,1,1,teacher,services,other,other,2,3,0,no,no,yes,no,no,yes,yes,no,4,5,3,1,2,3,28,7,5,5
GP,F,17,U,GT3,T,2,3,teacher,other,home,father,1,3,2,no,no,yes,yes,yes,yes,yes,no,5,3,4,2,1,5,22,11,11,9
MS,F,15,U,GT3,T,2,4,other,services,course,mother,2,2,1,no,yes,yes,no,no,no,yes,yes,4,3,5,3,1,1,31,11,11,11
MS,F,18,R,GT3,T,0,2,other,services,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,yes,5,4,3,3,1,4,9,14,12,11
MS,F,16,U,GT3,A,4,0,teacher,services,other,father,2,1,3,no,yes,yes,yes,no,yes,yes,yes,3,3,5,2,3,5,26,8,8,4
MS,M,21,R,GT3,T,3,0,services,health,reputation,father,1,4,0,no,yes,yes,no,no,yes,yes,yes,4,3,5,1,5,4,0,14,15,17
GP,M,15,U,GT3,T,2,2,other,services,reputation,mother,2,1,2,no,yes,no,no,yes,yes,no,no,4,2,5,1,1,4,28,8,8,7
MS,F,17,R,LE3,T,4,4,services,services,course,father,2,1,0,no,yes,no,yes,yes,yes,no,no,4,4,2,1,1,2,2,11,9,10
GP,F,15,U,GT3,T,1,2,teacher,other,other,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,4,4,3,1,3,2,30,15,15,14
GP,M,22,U,LE3,T,4,3,other,teacher,reputation,other,1,2,2,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,1,5,10,9,9,9
GP,F,17,R,GT3,A,2,2,health,services,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,5,3,3,4,5,21,13,12,12
GP,M,17,U,GT3,T,4,2,teacher,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,no,yes,5,3,3,4,1,5,17,4,3,2
GP,F,15,U,GT3,T,3,4,at_home,health,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,2,1,5,5,8,9,10
GP,M,18,U,GT3,T,4,3,services,services,reputation,mother,1,2,3,no,no,yes,no,no,yes,yes,no,3,4,1,2,1,4,2,10,7,5
MS,M,16,U,GT3,T,4,1,teacher,other,other,father,2,1,1,yes,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,5,4,7,5,4
GP,M,20,R,GT3,T,2,2,teacher,health,reputation,father,1,3,1,no,yes,yes,no,yes,yes,no,no,5,3,3,2,3,2,8,6,7,6
GP,M,16,U,LE3,T,4,1,other,teacher,other,father,1,1,0,no,yes,yes,no,no,yes,yes,yes,3,2,3,2,1,4,27,13,13,13
GP,M,16,R,GT3,T,2,2,other,at_home,other,mother,2,2,1,no,no,no,no,yes,yes,yes,yes,5,4,3,1,2,3,18,10,11,12
GP,F,15,U,LE3,T,2,3,other,services,course,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,5,3,1,2,2,27,11,12,12
MS,F,17,U,GT3,T,2,1,at_home,at_home,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,3,1,5,26,16,19,20
GP,F,17,U,GT3,T,3,2,other,other,course,other,2,2,1,yes,yes,yes,no,yes,yes,yes,yes,5,3,4,2,1,4,12,14,14,13
MS,F,15,U,GT3,T,2,2,teacher,health,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,5,3,3,2,4,20,11,13,14
MS,M,18,U,LE3,T,3,4,other,at_home,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,yes,4,5,3,3,3,4,26,13,13,13
GP,M,17,U,LE3,T,3,4,health,at_home,course,mother,2,4,0,no,yes,no,yes,yes,yes,no,no,1,3,2,5,5,4,5,6,7,8
GP,F,17,U,LE3,T,4,1,other,health,home,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,2,4,3,1,1,2,10,15,16,15
MS,M,17,U,GT3,T,4,4,at_home,at_home,other,father,2,2,2,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,1,5,16,5,5,4
GP,F,17,U,LE3,T,3,2,health,services,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,5,3,1,1,4,6,7,7,7
GP,M,17,U,GT3,T,2,2,teacher,at_home,course,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,3,4,3,1,2,5,29,5,5,4
MS,F,16,R,GT3,T,2,3,teacher,teacher,other,father,2,3,0,yes,no,no,no,yes,yes,yes,no,4,4,4,1,3,3,20,6,7,6
GP,M,16,U,LE3,T,2,4,services,at_home,home,mother,1,3,0,yes,no,no,no,yes,yes,yes,no,3,4,1,2,4,3,0,15,16,16
GP,F,19,U,GT3,A,1,4,health,services,home,mother,3,3,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,2,3,5,24,14,13,13
GP,F,21,U,GT3,T,2,3,services,other,course,father,1,4,1,no,yes,no,yes,yes,yes,no,yes,3,4,1,1,1,5,31,9,9,10
MS,F,16,U,GT3,T,2,2,health,teacher,home,mother,1,3,0,no,no,no,no,yes,yes,no,no,4,4,5,3,2,4,7,15,16,17
GP,M,16,U,GT3,T,4,4,health,services,other,mother,1,2,2,yes,yes,no,no,no,yes,no,no,4,5,3,1,5,5,4,7,5,3
GP,F,17,U,GT3,T,3,2,at_home,at_home,reputation,father,1,2,1,yes,no,no,yes,yes,yes,yes,no,2,3,3,1,1,5,29,11,12,11
GP,F,17,U,GT3,T,2,3,services,other,other,father,2,2,0,yes,yes,yes,no,yes,yes,yes,no,5,4,2,2,2,5,7,10,11,13
GP,F,15,U,GT3,T,3,2,at_home,at_home,reputation,father,2,1,0,yes,yes,yes,no,yes,yes,yes,no,4,3,1,2,5,5,18,11,13,13
GP,F,16,U,GT3,T,1,3,health,other,course,father,2,3,3,no,no,no,no,no,yes,yes,no,3,4,2,1,3,5,29,5,4,2
GP,F,18,R,LE3,T,3,2,teacher,other,reputation,father,2,2,1,no,no,yes,no,yes,yes,yes,no,3,4,2,1,3,3,14,8,9,7
GP,M,18,U,GT3,T,3,1,health,other,home,father,3,1,0,yes,no,yes,yes,yes,yes,yes,yes,4,1,4,2,1,5,26,13,13,12
MS,F,15,U,LE3,T,3,4,at_home,services,other,mother,2,1,0,no,yes,yes,yes,yes,yes,yes,no,2,3,3,1,2,4,12,13,15,14
GP,F,16,U,GT3,T,2,1,services,at_home,reputation,father,1,2,1,no,no,yes,no,yes,yes,yes,no,4,2,4,1,1,5,13,9,8,10
GP,F,16,U,GT3,T,4,3,services,other,other,other,2,2,1,no,yes,no,no,no,yes,yes,no,4,1,2,2,3,1,29,5,4,3
GP,M,18,U,GT3,T,4,2,at_home,other,course,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,4,5,1,1,4,12,19,18,18
MS,M,15,R,GT3,T,3,1,services,other,course,mother,1,2,2,no,no,no,yes,yes,yes,yes,no,4,3,3,1,4,4,15,9,8,7
GP,F,15,U,GT3,T,3,1,other,services,home,mother,2,2,3,no,no,yes,yes,yes,yes,yes,no,3,3,2,1,4,4,6,8,5,5
MS,F,18,U,GT3,T,3,1,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,3,5,2,3,26,8,7,7
GP,M,16,U,LE3,T,2,4,teacher,at_home,reputation,mother,1,1,2,yes,no,no,yes,yes,no,yes,yes,4,2,2,4,1,4,14,12,9,7
GP,F,18,U,LE3,T,2,2,teacher,other,course,father,1,1,0,no,yes,no,yes,yes,yes,no,no,3,4,2,1,1,5,27,15,13,12
GP,M,16,U,GT3,T,1,4,services,at_home,home,other,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,3,1,4,5,6,6,7,7
GP,M,15,U,LE3,T,3,3,services,at_home,other,mother,3,2,0,no,yes,yes,yes,yes,yes,no,yes,5,5,4,1,3,3,19,11,11,10
GP,M,16,U,GT3,T,3,2,health,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,1,3,5,1,3,5,31,10,9,8
GP,M,18,U,GT3,T,2,3,health,services,course,mother,1,2,1,no,yes,no,yes,no,yes,yes,yes,5,3,3,2,1,3,31,17,16,0
GP,F,19,U,GT3,T,4,3,teacher,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,3,5,2,2,2,25,15,14,12
GP,M,19,U,GT3,T,4,3,other,services,home,mother,1,2,0,no,yes,no,no,no,no,yes,no,5,4,5,1,3,5,19,7,6,8
GP,F,16,U,GT3,A,4,2,health,services,reputation,mother,3,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,1,2,5,17,9,11,12
MS,F,18,U,LE3,T,3,2,health,at_home,home,mother,1,2,0,yes,yes,no,yes,no,yes,yes,yes,4,5,3,1,3,4,14,9,11,13
GP,F,16,U,GT3,T,4,4,services,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,3,4,2,1,4,4,21,13,15,16
GP,F,16,U,GT3,T,1,4,other,health,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,5,3,2,1,1,3,21,16,16,18
MS,M,20,U,GT3,T,4,4,teacher,services,home,father,3,4,0,no,no,no,yes,no,yes,yes,no,5,4,4,2,1,4,20,13,14,15
GP,F,15,U,GT3,A,1,2,health,other,course,father,2,2,2,no,no,yes,no,yes,yes,yes,no,4,5,3,2,2,2,1,10,8,8
GP,F,15,R,GT3,T,4,4,other,health,reputation,father,2,2,1,no,no,yes,no,yes,yes,yes,no,4,3,2,2,1,5,17,8,7,4
GP,M,16,U,LE3,T,2,2,other,at_home,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,3,5,22,13,13,12
GP,F,15,U,GT3,T,4,2,teacher,at_home,home,father,1,3,2,no,no,yes,yes,yes,yes,yes,yes,1,4,1,2,3,5,12,8,8,7
MS,F,16,U,GT3,T,4,2,other,at_home,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,4,4,8,7,8,8
MS,F,17,U,LE3,T,1,3,other,at_home,home,mother,3,2,0,no,no,yes,yes,yes,yes,yes,no,5,5,1,1,3,5,6,13,13,13
GP,F,17,U,GT3,T,3,1,other,services,course,father,1,1,0,no,no,yes,yes,yes,no,yes,no,4,3,3,2,1,4,0,11,10,10
MS,F,20,U,LE3,T,4,2,health,at_home,other,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,3,2,4,1,1,3,1,8,9,9
MS,M,19,R,LE3,A,3,4,teacher,services,other,father,1,2,0,yes,yes,no,no,yes,yes,yes,yes,4,5,2,2,4,2,3,16,14,15
GP,F,16,U,LE3,T,4,2,other,other,course,mother,1,2,1,no,yes,no,yes,yes,yes,yes,yes,4,4,3,2,1,5,13,8,8,8
MS,F,16,U,GT3,T,3,1,other,health,reputation,other,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,2,4,4,3,5,31,13,13,14
GP,M,16,U,GT3,T,2,1,health,at_home,home,mother,4,1,1,no,no,no,yes,no,no,yes,no,3,5,2,4,4,2,1,8,7,8
MS,M,17,R,GT3,T,2,4,teacher,services,other,father,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,1,2,3,13,17,16,17
MS,M,16,U,GT3,T,2,3,services,services,reputation,father,2,3,1,no,yes,no,yes,yes,yes,yes,no,4,3,3,5,1,4,19,10,10,0
GP,F,17,R,LE3,T,4,2,health,services,home,father,2,4,0,no,yes,yes,no,yes,yes,yes,yes,2,5,3,2,2,5,24,7,9,11
GP,F,17,U,GT3,T,2,4,teacher,services,other,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,2,4,3,7,14,15,14
GP,M,17,R,GT3,T,3,4,other,other,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,3,27,17,19,20
GP,F,17,U,LE3,A,3,2,teacher,services,course,father,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,3,5,4,20,11,10,9
MS,M,16,R,GT3,T,3,3,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,4,2,1,3,4,22,14,14,0
MS,F,21,U,LE3,T,4,4,teacher,other,reputation,mother,2,2,1,no,no,yes,no,yes,no,yes,no,3,2,4,3,5,1,31,10,10,9
GP,F,18,R,GT3,T,4,3,services,at_home,reputation,father,1,4,0,yes,yes,yes,no,yes,yes,no,no,3,4,3,1,1,1,7,11,12,12
GP,F,15,U,GT3,T,2,1,teacher,health,reputation,mother,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,5,4,4,2,1,5,30,13,13,12
GP,M,19,U,LE3,T,4,4,services,services,home,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,3,3,3,1,4,4,15,9,9,9
GP,M,17,U,LE3,T,4,3,other,other,reputation,mother,3,1,2,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,26,8,6,6
GP,M,20,U,GT3,A,3,2,services,services,reputation,mother,2,1,0,yes,yes,yes,no,no,yes,no,no,5,5,3,1,2,5,17,12,12,13
GP,M,18,U,GT3,T,4,2,other,teacher,reputation,father,2,3,0,yes,yes,yes,no,yes,no,yes,yes,5,3,3,1,3,1,14,13,14,15
MS,F,17,U,LE3,A,2,1,other,at_home,course,father,2,2,2,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,4,4,26,6,6,4
GP,F,15,U,GT3,T,1,1,services,other,course,father,1,2,0,yes,yes,no,yes,yes,no,yes,no,3,3,4,1,1,4,16,18,19,19
GP,F,16,U,LE3,T,4,4,health,other,home,other,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,2,2,2,1,15,15,15
GP,F,17,R,GT3,T,3,0,at_home,health,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,4,3,3,4,5,30,14,13,12
GP,F,17,U,GT3,A,4,2,teacher,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,2,2,5,2,16,15,14
MS,F,16,R,LE3,T,4,3,at_home,services,course,mother,2,1,0,yes,yes,no,yes,yes,yes,no,yes,4,3,4,1,1,3,16,11,11,11
MS,F,15,U,LE3,T,1,1,teacher,services,other,mother,1,3,1,no,yes,yes,no,yes,yes,yes,no,5,3,4,1,4,3,13,9,10,10
GP,F,19,U,LE3,T,4,4,teacher,other,other,other,2,1,0,no,yes,yes,yes,yes,yes,yes,no,2,4,3,1,2,1,13,8,9,9
GP,M,22,R,LE3,T,3,2,other,services,reputation,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,4,1,3,0,9,9,0
GP,M,17,U,LE3,T,3,2,teacher,services,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,3,4,4,3,5,4,28,9,9,10
GP,M,16,U,GT3,T,3,2,teacher,teacher,course,mother,2,2,0,yes,yes,yes,yes,yes,no,no,no,4,3,5,1,3,4,3,10,12,14
GP,F,16,U,LE3,T,4,2,services,other,course,father,1,3,1,no,no,yes,yes,yes,yes,yes,yes,4,4,4,1,4,5,32,11,11,10
GP,F,15,U,GT3,T,0,0,at_home,other,course,father,2,3,1,no,yes,yes,no,yes,yes,yes,yes,3,3,4,3,4,1,16,13,13,13
GP,M,20,U,GT3,A,3,3,services,at_home,home,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,4,3,3,1,4,27,15,15,15
GP,F,15,R,GT3,T,3,4,teacher,other,home,other,2,1,2,no,yes,no,no,no,yes,yes,yes,4,2,4,3,1,5,25,4,2,1
GP,F,17,R,GT3,A,4,2,other,health,reputation,father,3,1,0,no,no,no,yes,yes,yes,yes,yes,5,4,3,3,1,4,7,13,12,11
MS,M,16,U,LE3,T,3,3,services,at_home,home,mother,3,2,0,no,no,yes,no,yes,no,no,no,4,2,5,1,1,1,17,15,14,13
GP,M,17,U,GT3,T,1,3,services,services,course,father,2,2,0,yes,yes,no,no,yes,yes,no,no,5,2,2,1,3,3,30,11,11,11
GP,F,18,U,GT3,T,2,4,health,health,course,mother,1,3,0,no,no,yes,yes,no,yes,yes,yes,4,3,1,1,3,3,26,16,16,0
GP,F,19,U,GT3,T,2,2,teacher,at_home,home,father,3,3,0,no,yes,no,no,yes,yes,yes,yes,3,4,1,1,2,5,15,15,15,16
MS,F,16,U,LE3,T,4,2,other,other,other,other,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,2,4,1,1,5,9,8,9,8
GP,F,15,U,GT3,T,2,2,services,teacher,reputation,father,3,4,1,no,no,yes,no,yes,yes,no,no,4,2,5,2,2,5,11,18,20,19
GP,F,15,U,GT3,T,2,3,services,services,other,father,1,3,0,no,no,no,yes,yes,yes,yes,yes,4,4,1,1,2,5,21,10,10,10
MS,F,20,R,LE3,T,4,4,other,services,reputation,mother,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,4,4,4,1,2,3,15,13,12,10
GP,F,19,U,GT3,T,0,1,teacher,services,other,other,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,4,1,1,5,11,14,12,14
GP,F,17,U,GT3,T,4,2,health,other,home,mother,1,3,3,yes,no,no,no,yes,yes,yes,yes,3,4,4,1,3,5,10,4,3,0
GP,M,17,U,GT3,A,3,4,services,at_home,reputation,father,1,1,1,yes,no,no,yes,yes,yes,no,yes,3,3,3,1,1,3,19,10,9,8
GP,M,18,U,GT3,T,4,4,health,at_home,reputation,other,1,1,0,no,no,yes,no,no,yes,yes,yes,4,4,4,3,2,3,0,14,15,15
GP,M,16,U,GT3,T,2,4,at_home,other,reputation,other,1,2,1,no,no,no,yes,yes,no,yes,yes,4,4,1,3,3,4,26,6,6,6
GP,F,20,R,LE3,T,0,3,teacher,health,course,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,2,4,1,1,3,2,12,12,0
GP,F,17,U,GT3,T,4,2,at_home,at_home,course,mother,1,1,1,no,no,no,no,yes,no,yes,yes,4,4,2,1,2,1,11,12,11,0
MS,F,16,R,GT3,T,4,3,at_home,services,other,other,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,3,3,1,2,5,29,15,16,15
GP,M,17,U,LE3,T,4,3,at_home,at_home,home,father,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,4,2,1,5,8,11,10,11
GP,M,15,U,LE3,T,1,1,teacher,other,course,other,2,2,1,yes,yes,no,no,yes,yes,yes,no,4,4,2,1,1,2,0,15,16,17
GP,M,16,U,GT3,T,4,3,teacher,other,reputation,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,5,4,3,15,16,16
GP,M,18,U,LE3,T,4,3,other,services,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,4,2,4,3,2,5,14,12,12,11
GP,F,15,R,GT3,T,3,1,health,other,home,mother,3,3,1,no,no,no,yes,yes,yes,yes,yes,4,1,3,1,5,5,26,9,8,0
GP,M,17,R,LE3,T,4,4,health,health,course,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,7,9,9,9
GP,M,16,U,LE3,T,4,3,other,teacher,reputation,father,2,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,2,1,2,5,22,14,16,0
GP,F,16,U,LE3,T,3,4,other,services,other,mother,2,2,0,yes,no,yes,no,yes,yes,yes,no,4,4,1,1,2,5,14,16,15,0
GP,M,16,U,GT3,T,1,1,at_home,services,reputation,father,4,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,1,1,5,26,11,11,13
GP,F,16,R,GT3,T,3,2,other,at_home,home,mother,2,1,3,no,yes,yes,yes,yes,yes,yes,yes,4,1,2,3,1,3,30,4,2,0
GP,F,18,U,GT3,T,1,3,services,at_home,other,father,1,3,0,yes,yes,no,yes,yes,no,yes,no,4,4,5,2,2,2,7,14,15,15
GP,M,16,U,GT3,T,2,2,health,other,course,mother,2,1,0,no,no,no,no,yes,yes,no,yes,4,4,1,2,2,5,29,12,11,10
MS,F,17,U,LE3,T,2,3,other,at_home,course,mother,2,2,1,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,2,17,12,12,11
GP,F,17,U,GT3,T,1,3,services,at_home,course,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,4,3,1,1,1,5,3,8,8,7
